annual_income,emp_length,loan_dollar_amount,monthly_term,purpose,home_ownership,debt_to_income_ratio,monthly_installment,int_rate,total_accounts,total_payment,loan_status,grade,sub_grade
75000,10+ years,8000,36,car,mortgage,0.0396,247.2,0.0705,24,8900,Fully Paid,A,A1
200000,10+ years,16000,36,car,own,0.0297,494.4,0.0705,26,17719,Fully Paid,A,A1
109000,10+ years,16000,36,car,own,0.0544,494.4,0.0705,32,17738,Fully Paid,A,A1
74400,10+ years,7500,36,car,own,0.0374,231.75,0.0705,31,8014,Fully Paid,A,A1
70000,< 1 year,8000,36,car,own,0.0424,247.2,0.0705,27,8664,Fully Paid,A,A1
48000,< 1 year,7500,36,car,own,0.0579,231.75,0.0705,18,8344,Fully Paid,A,A1
130000,9 years,9000,36,car,rent,0.0257,278.1,0.0705,28,9768,Fully Paid,A,A1
74500,1 year,11500,36,car,rent,0.0572,355.35,0.0705,40,12580,Fully Paid,A,A1
54000,10+ years,19000,36,car,rent,0.1305,587.1,0.0705,4,6337,Charged Off,A,A1
28800,< 1 year,3500,36,car,rent,0.0451,108.27,0.0712,5,3863,Fully Paid,A,A1
50004,< 1 year,12000,36,car,mortgage,0.0894,372.55,0.0737,31,13412,Fully Paid,A,A1
48000,5 years,10400,36,car,own,0.0807,322.88,0.0737,14,11623,Fully Paid,A,A1
29280,< 1 year,1800,36,car,own,0.0229,55.89,0.0737,16,2012,Fully Paid,A,A1
42000,< 1 year,3600,36,car,rent,0.0319,111.77,0.0737,16,4023,Fully Paid,A,A1
65004,1 year,8000,36,car,mortgage,0.0459,248.37,0.0737,31,1982,Charged Off,A,A1
28800,1 year,8500,36,car,rent,0.1100,263.89,0.0737,15,9500,Fully Paid,A,A1
78000,< 1 year,16800,36,car,rent,0.0802,521.57,0.0737,10,18776,Fully Paid,A,A1
117500,3 years,17500,36,car,mortgage,0.0555,543.3,0.0737,28,19412,Fully Paid,A,A1
54000,3 years,5000,36,car,mortgage,0.0337,151.64,0.0579,20,5459,Fully Paid,A,A2
48000,10+ years,4975,36,car,mortgage,0.0377,150.88,0.0579,11,5432,Fully Paid,A,A2
68800,10+ years,4800,36,car,mortgage,0.0254,145.57,0.0579,46,4930,Fully Paid,A,A2
40000,10+ years,4000,36,car,mortgage,0.0364,121.31,0.0579,31,4299,Fully Paid,A,A2
95000,4 years,8000,36,car,mortgage,0.0306,242.62,0.0579,43,8734,Fully Paid,A,A2
51000,6 years,6000,36,car,mortgage,0.0428,181.97,0.0579,10,6551,Fully Paid,A,A2
66560,10+ years,4200,36,car,mortgage,0.0230,127.38,0.0579,29,4394,Fully Paid,A,A2
60000,5 years,7200,36,car,mortgage,0.0387,193.34,0.0579,13,6493,Fully Paid,A,A2
71040,1 year,3000,36,car,mortgage,0.0154,90.99,0.0579,25,3117,Fully Paid,A,A2
48000,4 years,3000,36,car,own,0.0227,90.99,0.0579,22,3263,Fully Paid,A,A2
14400,7 years,5375,36,car,own,0.1358,163.01,0.0579,10,5868,Fully Paid,A,A2
45000,10+ years,1900,36,car,rent,0.0154,57.63,0.0579,25,1944,Fully Paid,A,A2
110500,2 years,9000,36,car,rent,0.0296,272.95,0.0579,26,9826,Fully Paid,A,A2
47000,3 years,4000,36,car,rent,0.0310,121.31,0.0579,13,4344,Fully Paid,A,A2
60000,4 years,7000,36,car,rent,0.0425,212.29,0.0579,12,7552,Fully Paid,A,A2
42000,< 1 year,6400,36,car,rent,0.0555,194.1,0.0579,12,6803,Fully Paid,A,A2
70000,2 years,4350,36,car,rent,0.0226,131.93,0.0579,15,4536,Fully Paid,A,A2
75000,1 year,9000,36,car,mortgage,0.0437,272.95,0.0579,20,9826,Fully Paid,A,A2
55000,3 years,3200,36,car,mortgage,0.0212,97.05,0.0579,14,3494,Fully Paid,A,A2
198171.96,4 years,5000,36,car,mortgage,0.0092,151.64,0.0579,32,5459,Fully Paid,A,A2
52500,10+ years,7000,36,car,mortgage,0.0485,212.29,0.0579,29,7577,Fully Paid,A,A2
30000,3 years,3800,36,car,mortgage,0.0461,115.25,0.0579,29,4047,Fully Paid,A,A2
26400,8 years,8000,36,car,own,0.1103,242.62,0.0579,10,8734,Fully Paid,A,A2
33600,3 years,4800,36,car,rent,0.0520,145.57,0.0579,16,5241,Fully Paid,A,A2
112200,10+ years,6800,36,car,mortgage,0.0221,206.23,0.0579,8,7424,Fully Paid,A,A2
90000,5 years,10000,36,car,mortgage,0.0404,303.27,0.0579,15,10918,Fully Paid,A,A2
63600,10+ years,2475,36,car,mortgage,0.0142,75.06,0.0579,36,2689,Fully Paid,A,A2
75000,2 years,4000,36,car,mortgage,0.0194,121.31,0.0579,36,4307,Fully Paid,A,A2
63600,< 1 year,6000,60,car,mortgage,0.0218,115.42,0.0579,23,6029,Fully Paid,A,A2
66000,10+ years,7000,60,car,mortgage,0.0245,134.65,0.0579,40,8079,Fully Paid,A,A2
24000,5 years,2225,60,car,rent,0.0214,42.8,0.0579,52,2568,Fully Paid,A,A2
54000,1 year,2000,36,car,mortgage,0.0135,60.84,0.0599,18,2190,Fully Paid,A,A2
39600,10+ years,6000,36,car,mortgage,0.0553,182.51,0.0599,32,6194,Fully Paid,A,A2
77040,8 years,5900,36,car,mortgage,0.0280,179.47,0.0599,30,6461,Fully Paid,A,A2
65500,10+ years,3000,36,car,mortgage,0.0167,91.26,0.0599,34,3285,Fully Paid,A,A2
96000,4 years,9600,36,car,mortgage,0.0365,292.01,0.0599,11,10512,Fully Paid,A,A2
41664,6 years,4000,36,car,mortgage,0.0350,121.67,0.0599,26,4254,Fully Paid,A,A2
55000,7 years,3000,36,car,mortgage,0.0199,91.26,0.0599,39,3071,Fully Paid,A,A2
96000,10+ years,4200,36,car,mortgage,0.0160,127.76,0.0599,20,4430,Fully Paid,A,A2
60000,1 year,7500,36,car,mortgage,0.0456,228.14,0.0599,30,7911,Fully Paid,A,A2
50000,10+ years,7500,36,car,own,0.0548,228.14,0.0599,32,8163,Fully Paid,A,A2
60000,2 years,4750,36,car,rent,0.0289,144.49,0.0599,12,5201,Fully Paid,A,A2
42000,2 years,6500,36,car,rent,0.0565,197.72,0.0599,12,7112,Fully Paid,A,A2
42000,6 years,5950,36,car,rent,0.0517,180.99,0.0599,17,6448,Fully Paid,A,A2
81600,2 years,5600,36,car,rent,0.0251,170.34,0.0599,14,6132,Fully Paid,A,A2
60000,1 year,3600,36,car,rent,0.0219,109.51,0.0599,33,3702,Fully Paid,A,A2
39660,< 1 year,4500,36,car,mortgage,0.0414,136.88,0.0599,30,958,Charged Off,A,A2
40000,10+ years,15000,36,car,mortgage,0.1369,456.27,0.0599,19,16425,Fully Paid,A,A2
87600,10+ years,3000,36,car,mortgage,0.0125,91.26,0.0599,55,3245,Fully Paid,A,A2
40000,6 years,4200,36,car,mortgage,0.0383,127.76,0.0599,14,4599,Fully Paid,A,A2
53329,6 years,8250,36,car,mortgage,0.0565,250.95,0.0599,35,8504,Fully Paid,A,A2
84000,7 years,2825,36,car,mortgage,0.0123,85.93,0.0599,32,3007,Fully Paid,A,A2
60000,3 years,4125,36,car,mortgage,0.0251,125.48,0.0599,44,4445,Fully Paid,A,A2
26400,10+ years,6600,36,car,own,0.0913,200.76,0.0599,30,7227,Fully Paid,A,A2
51000,1 year,6000,36,car,rent,0.0429,182.51,0.0599,34,6451,Fully Paid,A,A2
66000,3 years,3000,36,car,rent,0.0166,91.26,0.0599,19,3174,Fully Paid,A,A2
70000,4 years,4000,36,car,rent,0.0209,121.67,0.0599,18,4095,Fully Paid,A,A2
96000,8 years,11000,36,car,mortgage,0.0418,334.6,0.0599,26,12045,Fully Paid,A,A2
33000,< 1 year,10000,36,car,rent,0.1106,304.18,0.0599,15,10764,Fully Paid,A,A2
149400,1 year,7000,36,car,mortgage,0.0173,214.93,0.0662,43,7737,Fully Paid,A,A2
62352,3 years,3800,36,car,mortgage,0.0225,116.68,0.0662,24,4187,Fully Paid,A,A2
45000,1 year,3000,36,car,mortgage,0.0246,92.12,0.0662,23,3316,Fully Paid,A,A2
76800,3 years,6000,36,car,mortgage,0.0288,184.23,0.0662,27,6514,Fully Paid,A,A2
70000,3 years,7750,36,car,mortgage,0.0408,237.96,0.0662,26,8566,Fully Paid,A,A2
49536,10+ years,5200,36,car,mortgage,0.0387,159.66,0.0662,29,5229,Fully Paid,A,A2
124800,2 years,5000,36,car,mortgage,0.0148,153.52,0.0662,25,5182,Fully Paid,A,A2
60000,7 years,4200,36,car,mortgage,0.0258,128.96,0.0662,29,4642,Fully Paid,A,A2
54000,< 1 year,9600,36,car,mortgage,0.0655,294.76,0.0662,34,10371,Fully Paid,A,A2
80000,3 years,12000,36,car,rent,0.0553,368.45,0.0662,14,13264,Fully Paid,A,A2
69000,6 years,4200,36,car,rent,0.0224,128.96,0.0662,15,4642,Fully Paid,A,A2
249999.96,2 years,25000,36,car,mortgage,0.0368,767.6,0.0662,23,26422,Fully Paid,A,A2
72000,6 years,9800,36,car,mortgage,0.0502,300.9,0.0662,24,10774,Fully Paid,A,A2
180000,< 1 year,6000,36,car,mortgage,0.0123,184.23,0.0662,18,6632,Fully Paid,A,A2
45600,10+ years,7000,36,car,mortgage,0.0566,214.93,0.0662,22,7737,Fully Paid,A,A2
47088,10+ years,4000,36,car,rent,0.0313,122.82,0.0662,38,4378,Fully Paid,A,A2
32000,< 1 year,4500,36,car,rent,0.0518,138.17,0.0662,27,4974,Fully Paid,A,A2
55530,10+ years,3200,36,car,mortgage,0.0212,98.26,0.0662,16,3537,Fully Paid,A,A2
108000,10+ years,3500,36,car,mortgage,0.0120,107.69,0.0676,37,3877,Fully Paid,A,A2
57431,10+ years,4000,36,car,mortgage,0.0257,123.07,0.0676,21,4431,Fully Paid,A,A2
96000,4 years,4500,36,car,mortgage,0.0173,138.46,0.0676,28,4613,Fully Paid,A,A2
70000,10+ years,4400,36,car,mortgage,0.0232,135.38,0.0676,15,4858,Fully Paid,A,A2
73400,10+ years,2100,36,car,mortgage,0.0106,64.62,0.0676,28,2306,Fully Paid,A,A2
52800,10+ years,1925,36,car,mortgage,0.0135,59.23,0.0676,43,2013,Fully Paid,A,A2
85000,3 years,4000,36,car,mortgage,0.0174,123.08,0.0676,27,4431,Fully Paid,A,A2
120000,2 years,6000,36,car,mortgage,0.0185,184.61,0.0676,63,6416,Fully Paid,A,A2
63600,1 year,4000,36,car,own,0.0232,123.07,0.0676,21,4424,Fully Paid,A,A2
65000,6 years,3500,36,car,own,0.0199,107.69,0.0676,37,3742,Fully Paid,A,A2
30000,2 years,4150,36,car,rent,0.0511,127.69,0.0676,21,4597,Fully Paid,A,A2
52800,3 years,4500,36,car,rent,0.0315,138.46,0.0676,24,4774,Fully Paid,A,A2
53000,10+ years,3350,36,car,own,0.0233,103.08,0.0676,20,3405,Fully Paid,A,A2
85000,1 year,4400,36,car,mortgage,0.0193,136.66,0.074,19,4920,Fully Paid,A,A2
60000,3 years,2000,36,car,mortgage,0.0124,62.12,0.074,14,2036,Fully Paid,A,A2
50000,5 years,5000,36,car,mortgage,0.0373,155.3,0.074,32,5398,Fully Paid,A,A2
60000,3 years,4500,36,car,mortgage,0.0280,139.77,0.074,33,5032,Fully Paid,A,A2
72000,5 years,16000,36,car,mortgage,0.0828,496.95,0.074,23,17890,Fully Paid,A,A2
52700,7 years,4000,36,car,mortgage,0.0283,124.24,0.074,18,4472,Fully Paid,A,A2
73000,2 years,8000,36,car,rent,0.0408,248.48,0.074,16,8930,Fully Paid,A,A2
8000,1 year,2800,36,car,rent,0.1305,86.97,0.074,16,3120,Fully Paid,A,A2
40000,6 years,5000,36,car,rent,0.0466,155.38,0.0743,7,5594,Fully Paid,A,A2
120000,< 1 year,2225,36,car,mortgage,0.0069,69.14,0.0743,20,2508,Charged Off,A,A2
28500,1 year,8500,36,car,mortgage,0.1116,265.13,0.0768,10,9544,Fully Paid,A,A2
40308,1 year,5000,36,car,mortgage,0.0464,155.96,0.0768,19,5422,Fully Paid,A,A2
105000,< 1 year,5000,36,car,mortgage,0.0178,155.96,0.0768,38,5614,Fully Paid,A,A2
36300,< 1 year,4000,36,car,rent,0.0412,124.77,0.0768,5,4507,Fully Paid,A,A2
24000,< 1 year,10000,36,car,rent,0.1560,311.91,0.0768,9,11229,Fully Paid,A,A2
200004,10+ years,6000,36,car,mortgage,0.0112,187.15,0.0768,15,6734,Fully Paid,A,A2
75000,2 years,6000,36,car,rent,0.0299,187.15,0.0768,13,6719,Fully Paid,A,A2
69996,5 years,12000,36,car,mortgage,0.0642,374.29,0.0768,35,3151,Charged Off,A,A2
36000,2 years,1800,36,car,mortgage,0.0183,54.9,0.0617,21,1977,Fully Paid,A,A3
25200,9 years,4900,36,car,rent,0.0712,149.45,0.0617,21,5290,Fully Paid,A,A3
54000,1 year,6000,36,car,mortgage,0.0407,183,0.0617,23,6359,Fully Paid,A,A3
136000,3 years,5000,36,car,mortgage,0.0135,152.5,0.0617,18,5491,Fully Paid,A,A3
32000,10+ years,2275,36,car,mortgage,0.0260,69.39,0.0617,19,2498,Fully Paid,A,A3
110000,10+ years,7500,36,car,mortgage,0.0250,228.75,0.0617,16,8173,Fully Paid,A,A3
75000,7 years,6125,36,car,mortgage,0.0299,186.81,0.0617,25,6726,Fully Paid,A,A3
24000,< 1 year,3500,36,car,rent,0.0534,106.75,0.0617,11,3710,Fully Paid,A,A3
46000,3 years,8000,36,car,rent,0.0432,165.46,0.0617,21,5957,Fully Paid,A,A3
70000,6 years,8900,60,car,mortgage,0.0181,105.8,0.0617,34,5871,Fully Paid,A,A3
79200,10+ years,6600,60,car,own,0.0194,128.12,0.0617,18,7687,Fully Paid,A,A3
50000,10+ years,10000,36,car,mortgage,0.0740,308.41,0.0692,32,11103,Fully Paid,A,A3
37459,6 years,5600,36,car,mortgage,0.0553,172.71,0.0692,8,6130,Fully Paid,A,A3
72000,7 years,5000,36,car,mortgage,0.0257,154.21,0.0692,11,5543,Fully Paid,A,A3
99400,3 years,6000,36,car,mortgage,0.0223,185.05,0.0692,38,6655,Fully Paid,A,A3
81504,6 years,2400,36,car,mortgage,0.0109,74.02,0.0692,27,2572,Fully Paid,A,A3
42300,10+ years,2000,36,car,own,0.0175,61.69,0.0692,14,2142,Fully Paid,A,A3
31577,6 years,2500,36,car,own,0.0293,77.11,0.0692,21,2736,Fully Paid,A,A3
102000,5 years,7000,36,car,own,0.0254,215.89,0.0692,21,7567,Fully Paid,A,A3
24000,3 years,5000,36,car,rent,0.0771,154.21,0.0692,10,5551,Fully Paid,A,A3
30000,5 years,3600,36,car,rent,0.0444,111.03,0.0692,7,2210,Charged Off,A,A3
51000,6 years,6600,36,car,mortgage,0.0479,203.55,0.0692,20,7328,Fully Paid,A,A3
180000,6 years,8500,36,car,mortgage,0.0175,262.15,0.0692,38,9438,Fully Paid,A,A3
104000,2 years,10000,36,car,own,0.0356,308.41,0.0692,15,10374,Fully Paid,A,A3
50000,< 1 year,4000,36,car,rent,0.0296,123.37,0.0692,6,4089,Fully Paid,A,A3
65000,3 years,5000,36,car,mortgage,0.0285,154.21,0.0692,18,5302,Fully Paid,A,A3
38400,1 year,2400,36,car,mortgage,0.0232,74.1,0.0699,7,2667,Fully Paid,A,A3
80000,5 years,5000,36,car,mortgage,0.0232,154.37,0.0699,20,5557,Fully Paid,A,A3
73440,7 years,7000,36,car,mortgage,0.0353,216.11,0.0699,11,7670,Fully Paid,A,A3
69600,10+ years,1200,36,car,mortgage,0.0064,37.05,0.0699,22,1305,Fully Paid,A,A3
44000,8 years,3600,36,car,mortgage,0.0303,111.15,0.0699,21,4001,Fully Paid,A,A3
41000,< 1 year,1000,36,car,own,0.0090,30.88,0.0699,12,1055,Fully Paid,A,A3
34200,3 years,7200,36,car,rent,0.0780,222.29,0.0699,6,8002,Fully Paid,A,A3
27000,5 years,1700,36,car,rent,0.0233,52.49,0.0699,5,1809,Fully Paid,A,A3
84000,5 years,6000,36,car,rent,0.0265,185.24,0.0699,34,6665,Fully Paid,A,A3
48000,8 years,3000,36,car,rent,0.0232,92.62,0.0699,18,3334,Fully Paid,A,A3
113676,10+ years,7200,36,car,mortgage,0.0235,222.29,0.0699,30,8002,Fully Paid,A,A3
60000,5 years,2500,36,car,mortgage,0.0154,77.19,0.0699,31,2778,Fully Paid,A,A3
72252,< 1 year,8000,36,car,mortgage,0.0410,246.99,0.0699,31,8724,Fully Paid,A,A3
141000,1 year,8000,36,car,mortgage,0.0204,239.27,0.0699,43,8613,Fully Paid,A,A3
48000,4 years,5000,36,car,mortgage,0.0386,154.37,0.0699,22,5557,Fully Paid,A,A3
65000,9 years,6000,36,car,mortgage,0.0342,185.24,0.0699,38,6644,Fully Paid,A,A3
70000,7 years,14000,36,car,rent,0.0741,432.22,0.0699,15,14998,Fully Paid,A,A3
25200,< 1 year,1400,36,car,rent,0.0206,43.23,0.0699,14,1556,Fully Paid,A,A3
65000,10+ years,8000,36,car,mortgage,0.0456,246.99,0.0699,21,8870,Fully Paid,A,A3
95000,3 years,7100,36,car,rent,0.0277,219.2,0.0699,20,7738,Fully Paid,A,A3
26400,3 years,2500,36,car,rent,0.0351,77.19,0.0699,9,2541,Fully Paid,A,A3
45000,< 1 year,10500,36,car,rent,0.0864,324.17,0.0699,13,11422,Fully Paid,A,A3
58000,3 years,10000,36,car,rent,0.0639,308.73,0.0699,17,10059,Fully Paid,A,A3
85000,5 years,8000,36,car,mortgage,0.0349,247.52,0.0714,32,8906,Fully Paid,A,A3
45000,4 years,1500,36,car,mortgage,0.0124,46.41,0.0714,29,1671,Fully Paid,A,A3
57000,8 years,7000,36,car,mortgage,0.0456,216.59,0.0714,30,7699,Fully Paid,A,A3
22000,10+ years,7200,36,car,mortgage,0.1215,222.78,0.0714,15,8020,Fully Paid,A,A3
88000,5 years,4000,36,car,mortgage,0.0169,123.77,0.0714,22,4117,Fully Paid,A,A3
38500,1 year,5000,36,car,rent,0.0482,154.71,0.0714,14,5570,Fully Paid,A,A3
140000,10+ years,9000,36,car,rent,0.0239,278.48,0.0714,24,9865,Fully Paid,A,A3
